Sprint,Module,Developer,QA,Priority,Status,Root_Cause_Analysis,Defect_Age_Days,Reopened,Fix_Time_Days
Sprint 19,Reports,David,QA4,High,Open,Code Issue,3,False,9
Sprint 19,Reports,David,QA4,Medium,Open,Environment Issue,10,True,8
Sprint 19,Reports,David,QA4,Critical,Resolved,Environment Issue,29,False,2
Sprint 19,Reports,David,QA4,Critical,Closed,Test Coverage Miss,3,False,4
Sprint 19,Dashboard,David,QA2,High,Closed,Code Issue,11,True,10
Sprint 19,Dashboard,David,QA2,Medium,Resolved,Environment Issue,16,False,7
Sprint 19,Dashboard,David,QA2,Medium,Open,Test Coverage Miss,3,True,7
Sprint 19,Dashboard,David,QA2,Low,Closed,Environment Issue,7,False,9
Sprint 19,Dashboard,David,QA2,High,Resolved,Environment Issue,19,True,8
Sprint 19,Dashboard,David,QA2,High,Closed,Test Coverage Miss,12,False,8
Sprint 19,Dashboard,David,QA2,Critical,Closed,Environment Issue,6,True,4
Sprint 19,Dashboard,David,QA2,Critical,Closed,Requirement Gap,29,False,9
Sprint 19,Dashboard,David,QA2,High,Resolved,Environment Issue,21,True,4
Sprint 19,Dashboard,David,QA2,High,Closed,Requirement Gap,13,True,8
Sprint 20,Authentication,Alice,QA5,Low,In Progress,Environment Issue,25,True,10
Sprint 20,Authentication,Alice,QA5,Low,In Progress,Test Coverage Miss,15,True,10
Sprint 20,Authentication,Alice,QA5,High,In Progress,Requirement Gap,25,True,7
Sprint 20,Authentication,Alice,QA5,Critical,Resolved,Test Coverage Miss,2,False,2
Sprint 20,Authentication,Alice,QA5,Medium,In Progress,Test Coverage Miss,29,False,3
Sprint 20,Billing,David,QA1,Critical,In Progress,Code Issue,8,False,10
Sprint 20,Billing,David,QA1,Low,In Progress,Requirement Gap,21,False,10
Sprint 20,Billing,David,QA1,Critical,Resolved,Code Issue,12,False,9
Sprint 20,Billing,David,QA1,High,Closed,Test Coverage Miss,20,True,4
Sprint 20,Billing,David,QA1,High,In Progress,Environment Issue,20,False,9
Sprint 20,Billing,David,QA1,High,Open,Code Issue,1,True,3
Sprint 20,Billing,David,QA1,Low,In Progress,Requirement Gap,20,False,4
Sprint 20,Billing,David,QA1,Low,Resolved,Test Coverage Miss,5,False,8
Sprint 20,Payments,Charlie,QA5,Low,Resolved,Code Issue,29,True,7
Sprint 20,Payments,Charlie,QA5,Critical,Open,Requirement Gap,12,False,5
Sprint 20,Payments,Charlie,QA5,High,In Progress,Environment Issue,7,True,1
Sprint 20,Notifications,Eve,QA4,High,Resolved,Test Coverage Miss,1,False,8
Sprint 20,Notifications,Eve,QA4,Medium,Open,Environment Issue,8,True,5
Sprint 20,Reports,Eve,QA1,Critical,In Progress,Requirement Gap,30,True,10
Sprint 20,Reports,Eve,QA1,High,In Progress,Code Issue,28,False,3
Sprint 20,Reports,Eve,QA1,Critical,Open,Requirement Gap,21,True,9
Sprint 20,Reports,Eve,QA1,Medium,Resolved,Code Issue,7,False,6
Sprint 20,Reports,Eve,QA1,High,Resolved,Environment Issue,21,True,6
Sprint 20,Dashboard,Bob,QA2,High,In Progress,Code Issue,3,False,4
Sprint 20,Dashboard,Bob,QA2,High,Resolved,Test Coverage Miss,16,False,1
Sprint 20,Dashboard,Bob,QA2,Critical,In Progress,Environment Issue,30,False,10
Sprint 20,Dashboard,Bob,QA2,Medium,Open,Test Coverage Miss,23,False,8
Sprint 20,Dashboard,Bob,QA2,Critical,In Progress,Environment Issue,11,False,6
Sprint 21,Authentication,David,QA5,Medium,Closed,Environment Issue,18,True,6
Sprint 21,Authentication,David,QA5,Critical,In Progress,Requirement Gap,7,True,10
Sprint 21,Authentication,David,QA5,High,Resolved,Test Coverage Miss,22,True,4
Sprint 21,Authentication,David,QA5,High,Resolved,Code Issue,11,True,3
Sprint 21,Authentication,David,QA5,High,Closed,Environment Issue,26,True,3
Sprint 21,Authentication,David,QA5,Medium,Open,Environment Issue,5,True,6
Sprint 21,Authentication,David,QA5,Low,Open,Requirement Gap,26,True,3
Sprint 21,Authentication,David,QA5,Critical,Resolved,Code Issue,2,True,10
Sprint 21,Authentication,David,QA5,Critical,Open,Environment Issue,27,False,9
Sprint 21,Billing,Charlie,QA1,Critical,Open,Code Issue,4,False,5
Sprint 21,Billing,Charlie,QA1,High,In Progress,Requirement Gap,29,True,9
Sprint 21,Billing,Charlie,QA1,Low,Open,Test Coverage Miss,12,False,10
Sprint 21,Billing,Charlie,QA1,Medium,Closed,Environment Issue,1,False,6
Sprint 21,Billing,Charlie,QA1,Critical,In Progress,Requirement Gap,5,False,7
Sprint 21,Billing,Charlie,QA1,Medium,In Progress,Environment Issue,18,False,1
Sprint 21,Billing,Charlie,QA1,Critical,In Progress,Environment Issue,29,False,1
Sprint 21,Billing,Charlie,QA1,Low,In Progress,Test Coverage Miss,25,False,8
Sprint 21,Payments,David,QA2,Critical,Open,Requirement Gap,22,True,3
Sprint 21,Payments,David,QA2,Low,Open,Environment Issue,20,False,3
Sprint 21,Notifications,David,QA2,Low,Resolved,Code Issue,4,True,10
Sprint 21,Notifications,David,QA2,High,Resolved,Test Coverage Miss,7,False,2
Sprint 21,Notifications,David,QA2,High,Open,Test Coverage Miss,10,True,4
Sprint 21,Reports,Alice,QA1,Medium,Open,Test Coverage Miss,20,True,10
Sprint 21,Reports,Alice,QA1,Critical,In Progress,Test Coverage Miss,15,False,6
Sprint 21,Reports,Alice,QA1,Medium,Closed,Requirement Gap,21,True,6
Sprint 21,Reports,Alice,QA1,Low,Open,Code Issue,19,True,6
Sprint 21,Dashboard,David,QA1,High,Open,Environment Issue,4,False,10
Sprint 21,Dashboard,David,QA1,Medium,Resolved,Requirement Gap,13,False,4
Sprint 21,Dashboard,David,QA1,Medium,In Progress,Code Issue,18,True,7
Sprint 21,Dashboard,David,QA1,High,Open,Test Coverage Miss,16,True,9
Sprint 21,Dashboard,David,QA1,Medium,Closed,Environment Issue,17,False,5
Sprint 21,Dashboard,David,QA1,Low,Resolved,Requirement Gap,10,False,10
Sprint 21,Dashboard,David,QA1,Medium,Resolved,Environment Issue,13,True,9
Sprint 22,Authentication,David,QA5,Critical,Closed,Code Issue,22,False,3
Sprint 22,Authentication,David,QA5,Low,Resolved,Code Issue,8,True,7
Sprint 22,Authentication,David,QA5,Low,Resolved,Requirement Gap,8,True,1
Sprint 22,Authentication,David,QA5,Low,Open,Code Issue,12,True,4
Sprint 22,Authentication,David,QA5,Low,Closed,Test Coverage Miss,7,True,7
Sprint 22,Authentication,David,QA5,Critical,Closed,Code Issue,6,False,7
Sprint 22,Billing,Bob,QA1,Low,In Progress,Code Issue,23,False,9
Sprint 22,Billing,Bob,QA1,Low,Open,Test Coverage Miss,1,True,5
Sprint 22,Billing,Bob,QA1,High,Open,Test Coverage Miss,2,False,9
Sprint 22,Billing,Bob,QA1,High,Closed,Test Coverage Miss,5,True,3
Sprint 22,Billing,Bob,QA1,Critical,Open,Environment Issue,11,False,2
Sprint 22,Billing,Bob,QA1,Critical,Resolved,Code Issue,21,True,5
Sprint 22,Billing,Bob,QA1,Medium,Closed,Environment Issue,7,True,4
Sprint 22,Payments,Charlie,QA4,Medium,Closed,Requirement Gap,22,True,2
Sprint 22,Payments,Charlie,QA4,Medium,Resolved,Test Coverage Miss,7,False,9
Sprint 22,Payments,Charlie,QA4,Low,Resolved,Environment Issue,25,True,10
Sprint 22,Payments,Charlie,QA4,Critical,Closed,Environment Issue,26,False,8
Sprint 22,Payments,Charlie,QA4,Low,Closed,Requirement Gap,21,False,9
Sprint 22,Payments,Charlie,QA4,Low,In Progress,Test Coverage Miss,23,True,9
Sprint 22,Payments,Charlie,QA4,Low,Resolved,Code Issue,2,False,6
Sprint 22,Payments,Charlie,QA4,Medium,Open,Environment Issue,23,True,3
Sprint 22,Notifications,Bob,QA1,High,Resolved,Test Coverage Miss,21,True,9
Sprint 22,Notifications,Bob,QA1,High,Open,Environment Issue,23,False,1
Sprint 22,Notifications,Bob,QA1,High,Closed,Code Issue,10,False,1
Sprint 22,Notifications,Bob,QA1,High,Closed,Environment Issue,14,True,6
Sprint 22,Notifications,Bob,QA1,Low,In Progress,Environment Issue,8,True,4
Sprint 22,Notifications,Bob,QA1,Low,Open,Code Issue,15,False,1
Sprint 22,Reports,Alice,QA5,High,Resolved,Code Issue,14,False,10
Sprint 22,Reports,Alice,QA5,Critical,Resolved,Code Issue,10,True,1
Sprint 22,Reports,Alice,QA5,Low,Resolved,Code Issue,9,True,1
Sprint 22,Reports,Alice,QA5,Low,Resolved,Requirement Gap,6,True,9
Sprint 22,Reports,Alice,QA5,Low,Closed,Test Coverage Miss,21,True,10
Sprint 22,Reports,Alice,QA5,Medium,In Progress,Code Issue,7,False,4
Sprint 22,Reports,Alice,QA5,High,In Progress,Environment Issue,5,False,5
Sprint 22,Reports,Alice,QA5,High,In Progress,Environment Issue,17,False,5
Sprint 22,Reports,Alice,QA5,Low,Open,Test Coverage Miss,20,True,3
Sprint 22,Dashboard,Charlie,QA2,Low,Closed,Environment Issue,15,True,5
Sprint 22,Dashboard,Charlie,QA2,High,In Progress,Code Issue,9,True,3
Sprint 22,Dashboard,Charlie,QA2,High,In Progress,Requirement Gap,29,False,10
Sprint 23,Authentication,Bob,QA4,Medium,Open,Environment Issue,21,True,1
Sprint 23,Authentication,Bob,QA4,Low,Resolved,Code Issue,28,False,1
Sprint 23,Authentication,Bob,QA4,Medium,Resolved,Environment Issue,8,True,6
Sprint 23,Authentication,Bob,QA4,Medium,Open,Code Issue,2,False,5
Sprint 23,Authentication,Bob,QA4,Low,Open,Code Issue,9,True,3
Sprint 23,Authentication,Bob,QA4,Medium,In Progress,Requirement Gap,7,False,3
Sprint 23,Authentication,Bob,QA4,Medium,In Progress,Requirement Gap,7,True,9
Sprint 23,Billing,David,QA3,Critical,Closed,Test Coverage Miss,22,False,9
Sprint 23,Billing,David,QA3,High,Open,Requirement Gap,22,False,2
Sprint 23,Billing,David,QA3,Low,In Progress,Code Issue,27,False,7
Sprint 23,Billing,David,QA3,Medium,Closed,Requirement Gap,13,False,3
Sprint 23,Payments,David,QA2,Low,In Progress,Requirement Gap,17,True,2
Sprint 23,Payments,David,QA2,Critical,Closed,Code Issue,4,False,7
Sprint 23,Payments,David,QA2,Critical,Closed,Requirement Gap,23,False,8
Sprint 23,Payments,David,QA2,Low,Open,Environment Issue,20,True,10
Sprint 23,Payments,David,QA2,High,Resolved,Requirement Gap,16,False,10
Sprint 23,Notifications,Charlie,QA1,Medium,Open,Environment Issue,1,True,6
Sprint 23,Notifications,Charlie,QA1,Low,Closed,Test Coverage Miss,1,True,3
Sprint 23,Notifications,Charlie,QA1,Medium,Closed,Test Coverage Miss,26,False,2
Sprint 23,Notifications,Charlie,QA1,Medium,In Progress,Test Coverage Miss,23,False,7
Sprint 23,Notifications,Charlie,QA1,Critical,Resolved,Code Issue,23,False,8
Sprint 23,Notifications,Charlie,QA1,High,In Progress,Environment Issue,6,False,6
Sprint 23,Notifications,Charlie,QA1,Low,Closed,Test Coverage Miss,28,False,6
Sprint 23,Notifications,Charlie,QA1,High,Closed,Requirement Gap,24,True,6
Sprint 23,Notifications,Charlie,QA1,High,Open,Environment Issue,28,True,5
Sprint 23,Notifications,Charlie,QA1,Critical,Resolved,Code Issue,21,True,4
Sprint 23,Reports,Bob,QA5,High,Closed,Requirement Gap,3,True,1
Sprint 23,Reports,Bob,QA5,Low,In Progress,Requirement Gap,22,True,10
Sprint 23,Reports,Bob,QA5,Low,Open,Environment Issue,28,True,3
Sprint 23,Reports,Bob,QA5,Low,Resolved,Environment Issue,14,False,2
Sprint 23,Reports,Bob,QA5,Critical,In Progress,Test Coverage Miss,29,True,7
Sprint 23,Reports,Bob,QA5,High,Closed,Requirement Gap,2,True,6
Sprint 23,Reports,Bob,QA5,Critical,Closed,Environment Issue,15,False,8
Sprint 23,Reports,Bob,QA5,Critical,Open,Requirement Gap,13,True,10
Sprint 23,Reports,Bob,QA5,Low,Open,Test Coverage Miss,23,False,8
Sprint 23,Dashboard,Frank,QA5,Medium,In Progress,Test Coverage Miss,7,False,9
Sprint 23,Dashboard,Frank,QA5,Critical,In Progress,Environment Issue,7,True,4
Sprint 23,Dashboard,Frank,QA5,Low,Resolved,Test Coverage Miss,16,False,10
Sprint 23,Dashboard,Frank,QA5,Low,Open,Test Coverage Miss,27,True,2
Sprint 23,Dashboard,Frank,QA5,Critical,Closed,Test Coverage Miss,18,True,7
Sprint 23,Dashboard,Frank,QA5,Medium,Open,Test Coverage Miss,30,True,8
Sprint 24,Authentication,David,QA2,High,In Progress,Code Issue,24,True,2
Sprint 24,Authentication,David,QA2,Critical,Open,Environment Issue,11,True,8
Sprint 24,Authentication,David,QA2,High,Resolved,Requirement Gap,11,True,6
Sprint 24,Authentication,David,QA2,Medium,Open,Environment Issue,21,True,6
Sprint 24,Authentication,David,QA2,Low,Resolved,Requirement Gap,10,False,3
Sprint 24,Authentication,David,QA2,Low,Closed,Environment Issue,12,True,7
Sprint 24,Authentication,David,QA2,Medium,Closed,Test Coverage Miss,26,False,1
Sprint 24,Billing,David,QA5,Critical,Closed,Test Coverage Miss,25,False,8
Sprint 24,Billing,David,QA5,Critical,Resolved,Test Coverage Miss,22,False,2
Sprint 24,Billing,David,QA5,Low,In Progress,Environment Issue,18,True,2
Sprint 24,Billing,David,QA5,Critical,Resolved,Environment Issue,10,False,7
Sprint 24,Billing,David,QA5,High,Closed,Test Coverage Miss,20,True,5
Sprint 24,Billing,David,QA5,Low,In Progress,Environment Issue,27,False,5
Sprint 24,Billing,David,QA5,Low,Closed,Test Coverage Miss,20,False,2
Sprint 24,Billing,David,QA5,Critical,Open,Environment Issue,17,False,8
Sprint 24,Billing,David,QA5,Critical,In Progress,Test Coverage Miss,11,False,9
Sprint 24,Billing,David,QA5,Medium,Open,Environment Issue,4,True,10
Sprint 24,Payments,Bob,QA1,High,Resolved,Environment Issue,12,False,3
Sprint 24,Payments,Bob,QA1,Critical,Closed,Code Issue,13,False,1
Sprint 24,Payments,Bob,QA1,Low,Resolved,Code Issue,28,False,1
Sprint 24,Payments,Bob,QA1,Medium,In Progress,Test Coverage Miss,17,True,1
Sprint 24,Payments,Bob,QA1,High,Open,Test Coverage Miss,6,True,5
Sprint 24,Payments,Bob,QA1,Critical,Closed,Environment Issue,23,True,6
Sprint 24,Payments,Bob,QA1,Medium,Resolved,Requirement Gap,18,False,6
Sprint 24,Notifications,Eve,QA1,High,In Progress,Requirement Gap,5,True,2
Sprint 24,Notifications,Eve,QA1,High,In Progress,Test Coverage Miss,10,True,4
Sprint 24,Reports,Eve,QA3,Critical,Open,Environment Issue,20,False,1
Sprint 24,Reports,Eve,QA3,Critical,Closed,Environment Issue,25,True,4
Sprint 24,Reports,Eve,QA3,High,In Progress,Environment Issue,26,True,2
Sprint 24,Reports,Eve,QA3,Critical,Closed,Test Coverage Miss,11,True,5
Sprint 24,Reports,Eve,QA3,Low,Open,Requirement Gap,26,True,1
Sprint 24,Reports,Eve,QA3,Critical,In Progress,Environment Issue,12,True,10
Sprint 24,Reports,Eve,QA3,Low,Resolved,Code Issue,12,True,3
Sprint 24,Reports,Eve,QA3,Medium,Open,Requirement Gap,2,True,3
Sprint 24,Reports,Eve,QA3,High,Open,Environment Issue,4,True,3
Sprint 24,Dashboard,Bob,QA4,Medium,In Progress,Code Issue,16,False,5
Sprint 24,Dashboard,Bob,QA4,Critical,Open,Requirement Gap,7,False,1
Sprint 24,Dashboard,Bob,QA4,Critical,Open,Code Issue,16,True,4
Sprint 24,Dashboard,Bob,QA4,Low,Resolved,Requirement Gap,22,False,3
Sprint 25,Authentication,Bob,QA4,Low,Closed,Environment Issue,11,False,7
Sprint 25,Authentication,Bob,QA4,Critical,Resolved,Requirement Gap,10,False,8
Sprint 25,Authentication,Bob,QA4,Low,Open,Environment Issue,14,True,4
Sprint 25,Billing,David,QA3,Low,Closed,Environment Issue,11,True,9
Sprint 25,Billing,David,QA3,Critical,In Progress,Code Issue,6,True,2
Sprint 25,Billing,David,QA3,Critical,In Progress,Environment Issue,9,False,3
Sprint 25,Billing,David,QA3,High,Closed,Code Issue,20,True,10
Sprint 25,Payments,Bob,QA2,High,Open,Test Coverage Miss,25,False,3
Sprint 25,Payments,Bob,QA2,Critical,Open,Environment Issue,21,False,10
Sprint 25,Payments,Bob,QA2,Critical,Closed,Test Coverage Miss,6,False,9
Sprint 25,Payments,Bob,QA2,Critical,In Progress,Test Coverage Miss,9,False,4
Sprint 25,Payments,Bob,QA2,Medium,Open,Code Issue,5,False,3
Sprint 25,Payments,Bob,QA2,Medium,Closed,Code Issue,13,False,10
Sprint 25,Notifications,Charlie,QA4,Low,Closed,Environment Issue,9,False,4
Sprint 25,Notifications,Charlie,QA4,Low,Open,Test Coverage Miss,17,False,3
Sprint 25,Notifications,Charlie,QA4,High,In Progress,Test Coverage Miss,17,True,9
Sprint 25,Notifications,Charlie,QA4,Medium,Open,Code Issue,17,True,8
Sprint 25,Reports,Bob,QA3,High,In Progress,Code Issue,25,True,9
Sprint 25,Reports,Bob,QA3,Medium,Resolved,Environment Issue,21,False,4
Sprint 25,Dashboard,Alice,QA5,Medium,Open,Test Coverage Miss,1,True,4
Sprint 25,Dashboard,Alice,QA5,High,Resolved,Environment Issue,14,False,4
Sprint 25,Dashboard,Alice,QA5,High,Resolved,Requirement Gap,22,True,10
Sprint 25,Dashboard,Alice,QA5,Critical,Open,Test Coverage Miss,6,False,1
Sprint 25,Dashboard,Alice,QA5,High,Open,Requirement Gap,20,False,8
Sprint 26,Authentication,David,QA4,High,Open,Test Coverage Miss,15,True,6
Sprint 26,Authentication,David,QA4,High,In Progress,Test Coverage Miss,9,True,9
Sprint 26,Authentication,David,QA4,High,Open,Code Issue,27,True,7
Sprint 26,Authentication,David,QA4,Medium,Open,Environment Issue,13,False,9
Sprint 26,Authentication,David,QA4,Critical,Resolved,Code Issue,17,False,6
Sprint 26,Billing,David,QA2,High,Closed,Code Issue,24,True,9
Sprint 26,Billing,David,QA2,High,Resolved,Environment Issue,28,True,3
Sprint 26,Billing,David,QA2,Low,Closed,Environment Issue,7,False,3
Sprint 26,Billing,David,QA2,High,In Progress,Test Coverage Miss,22,True,4
Sprint 26,Payments,Bob,QA1,Medium,In Progress,Code Issue,23,True,3
Sprint 26,Payments,Bob,QA1,Low,Open,Requirement Gap,20,False,6
Sprint 26,Payments,Bob,QA1,High,Open,Code Issue,14,True,7
Sprint 26,Payments,Bob,QA1,Critical,Resolved,Environment Issue,11,True,3
Sprint 26,Payments,Bob,QA1,Low,Open,Environment Issue,14,False,3
Sprint 26,Payments,Bob,QA1,Low,Resolved,Test Coverage Miss,8,True,7
Sprint 26,Payments,Bob,QA1,Critical,Resolved,Environment Issue,12,True,6
Sprint 26,Notifications,Eve,QA2,Low,Closed,Requirement Gap,28,True,5
Sprint 26,Notifications,Eve,QA2,Critical,Closed,Test Coverage Miss,8,True,6
Sprint 26,Notifications,Eve,QA2,Critical,Open,Environment Issue,25,True,2
Sprint 26,Notifications,Eve,QA2,High,Resolved,Code Issue,28,True,4
Sprint 26,Reports,Bob,QA5,Low,Open,Requirement Gap,21,True,2
Sprint 26,Reports,Bob,QA5,High,Resolved,Test Coverage Miss,1,True,4
Sprint 26,Reports,Bob,QA5,Low,In Progress,Requirement Gap,5,False,2
Sprint 26,Dashboard,David,QA3,Medium,In Progress,Requirement Gap,14,True,10
Sprint 26,Dashboard,David,QA3,Low,Open,Code Issue,27,False,10
Sprint 26,Dashboard,David,QA3,Critical,Resolved,Code Issue,4,False,8
Sprint 26,Dashboard,David,QA3,Low,Open,Environment Issue,18,False,9
Sprint 26,Dashboard,David,QA3,Medium,Resolved,Requirement Gap,10,True,5
Sprint 26,Dashboard,David,QA3,Medium,Open,Requirement Gap,16,True,10
Sprint 26,Dashboard,David,QA3,Low,Closed,Environment Issue,3,True,8
Sprint 26,Dashboard,David,QA3,Critical,Closed,Requirement Gap,9,True,3
Sprint 27,Authentication,David,QA5,Critical,In Progress,Code Issue,8,True,4
Sprint 27,Authentication,David,QA5,High,Open,Test Coverage Miss,9,True,3
Sprint 27,Authentication,David,QA5,High,Resolved,Test Coverage Miss,2,False,1
Sprint 27,Authentication,David,QA5,Critical,Resolved,Test Coverage Miss,2,False,4
Sprint 27,Billing,Alice,QA3,Critical,Open,Requirement Gap,22,False,7
Sprint 27,Billing,Alice,QA3,Medium,In Progress,Environment Issue,27,True,5
Sprint 27,Billing,Alice,QA3,High,Resolved,Requirement Gap,29,False,5
Sprint 27,Billing,Alice,QA3,High,Resolved,Test Coverage Miss,25,False,2
Sprint 27,Billing,Alice,QA3,Low,Resolved,Environment Issue,9,False,3
Sprint 27,Billing,Alice,QA3,Medium,Resolved,Requirement Gap,28,True,1
Sprint 27,Billing,Alice,QA3,Medium,Resolved,Requirement Gap,3,True,5
Sprint 27,Billing,Alice,QA3,High,Resolved,Requirement Gap,12,False,1
Sprint 27,Billing,Alice,QA3,Critical,In Progress,Environment Issue,14,False,8
Sprint 27,Payments,Eve,QA4,High,Open,Requirement Gap,14,True,1
Sprint 27,Payments,Eve,QA4,Low,Resolved,Code Issue,7,True,6
Sprint 27,Payments,Eve,QA4,High,Resolved,Test Coverage Miss,19,False,7
Sprint 27,Payments,Eve,QA4,Critical,Closed,Code Issue,16,False,7
Sprint 27,Payments,Eve,QA4,Medium,Resolved,Test Coverage Miss,10,False,8
Sprint 27,Payments,Eve,QA4,High,Closed,Code Issue,21,True,5
Sprint 27,Payments,Eve,QA4,Low,In Progress,Test Coverage Miss,21,False,8
Sprint 27,Payments,Eve,QA4,High,In Progress,Requirement Gap,12,False,10
Sprint 27,Payments,Eve,QA4,High,Open,Environment Issue,11,True,2
Sprint 27,Payments,Eve,QA4,Low,Closed,Requirement Gap,8,True,10
Sprint 27,Notifications,David,QA1,Medium,Resolved,Test Coverage Miss,5,True,9
Sprint 27,Notifications,David,QA1,Medium,Closed,Environment Issue,7,True,10
Sprint 27,Notifications,David,QA1,Medium,Resolved,Test Coverage Miss,7,True,9
Sprint 27,Notifications,David,QA1,Critical,Closed,Environment Issue,10,True,9
Sprint 27,Reports,Frank,QA2,Critical,Closed,Test Coverage Miss,27,False,8
Sprint 27,Reports,Frank,QA2,Low,Closed,Code Issue,15,False,9
Sprint 27,Reports,Frank,QA2,Critical,Resolved,Code Issue,6,False,4
Sprint 27,Dashboard,Frank,QA3,Critical,Resolved,Test Coverage Miss,6,True,10
Sprint 27,Dashboard,Frank,QA3,High,Resolved,Environment Issue,21,False,5
Sprint 27,Dashboard,Frank,QA3,High,Open,Test Coverage Miss,29,True,5
Sprint 27,Dashboard,Frank,QA3,High,Resolved,Code Issue,11,True,8
Sprint 27,Dashboard,Frank,QA3,Critical,Resolved,Test Coverage Miss,19,True,3
Sprint 28,Authentication,Frank,QA1,Critical,Open,Test Coverage Miss,30,False,4
Sprint 28,Authentication,Frank,QA1,Critical,Open,Requirement Gap,24,False,9
Sprint 28,Authentication,Frank,QA1,High,Closed,Test Coverage Miss,7,False,4
Sprint 28,Authentication,Frank,QA1,High,Open,Environment Issue,12,True,1
Sprint 28,Authentication,Frank,QA1,Medium,Resolved,Requirement Gap,12,True,5
Sprint 28,Authentication,Frank,QA1,Low,Open,Code Issue,12,False,10
Sprint 28,Authentication,Frank,QA1,Low,Resolved,Code Issue,18,True,3
Sprint 28,Billing,Alice,QA1,Low,In Progress,Requirement Gap,24,False,2
Sprint 28,Billing,Alice,QA1,High,Open,Requirement Gap,25,False,9
Sprint 28,Billing,Alice,QA1,Critical,Closed,Requirement Gap,23,True,6
Sprint 28,Billing,Alice,QA1,Critical,Closed,Code Issue,15,True,6
Sprint 28,Billing,Alice,QA1,Medium,Closed,Code Issue,23,False,10
Sprint 28,Payments,Charlie,QA3,Low,Resolved,Code Issue,6,True,5
Sprint 28,Payments,Charlie,QA3,Medium,Open,Code Issue,13,False,10
Sprint 28,Payments,Charlie,QA3,Critical,In Progress,Test Coverage Miss,25,False,1
Sprint 28,Payments,Charlie,QA3,Low,Open,Test Coverage Miss,26,True,8
Sprint 28,Payments,Charlie,QA3,Medium,Resolved,Test Coverage Miss,17,False,7
Sprint 28,Payments,Charlie,QA3,Medium,Open,Requirement Gap,2,False,9
Sprint 28,Notifications,David,QA1,Medium,Open,Code Issue,5,True,6
Sprint 28,Notifications,David,QA1,Low,Resolved,Test Coverage Miss,9,False,6
Sprint 28,Notifications,David,QA1,Critical,Open,Code Issue,14,True,7
Sprint 28,Notifications,David,QA1,Low,In Progress,Requirement Gap,20,False,1
Sprint 28,Notifications,David,QA1,Critical,Resolved,Requirement Gap,23,False,3
Sprint 28,Notifications,David,QA1,Critical,In Progress,Environment Issue,1,True,4
Sprint 28,Notifications,David,QA1,High,Resolved,Requirement Gap,8,False,2
Sprint 28,Notifications,David,QA1,Critical,In Progress,Code Issue,13,False,1
Sprint 28,Notifications,David,QA1,High,Resolved,Requirement Gap,9,False,4
Sprint 28,Reports,Frank,QA3,Critical,In Progress,Code Issue,12,True,4
Sprint 28,Reports,Frank,QA3,Medium,Open,Code Issue,15,True,5
Sprint 28,Reports,Frank,QA3,High,In Progress,Environment Issue,6,False,5
Sprint 28,Reports,Frank,QA3,High,Open,Test Coverage Miss,4,True,8
Sprint 28,Reports,Frank,QA3,Critical,Resolved,Requirement Gap,11,True,1
Sprint 28,Reports,Frank,QA3,High,In Progress,Requirement Gap,20,True,3
Sprint 28,Reports,Frank,QA3,Medium,Open,Environment Issue,4,False,6
Sprint 28,Dashboard,Frank,QA4,Critical,Open,Requirement Gap,22,False,2
Sprint 28,Dashboard,Frank,QA4,High,In Progress,Code Issue,1,False,3
Sprint 28,Dashboard,Frank,QA4,High,Resolved,Code Issue,9,True,6
Sprint 28,Dashboard,Frank,QA4,Medium,In Progress,Test Coverage Miss,6,True,7
Sprint 29,Authentication,Charlie,QA2,Critical,In Progress,Test Coverage Miss,11,True,8
Sprint 29,Authentication,Charlie,QA2,Medium,Open,Requirement Gap,30,False,10
Sprint 29,Authentication,Charlie,QA2,Low,Closed,Environment Issue,29,False,6
Sprint 29,Authentication,Charlie,QA2,Critical,Closed,Test Coverage Miss,26,False,9
Sprint 29,Authentication,Charlie,QA2,Medium,In Progress,Requirement Gap,22,True,9
Sprint 29,Authentication,Charlie,QA2,Medium,In Progress,Environment Issue,6,False,1
Sprint 29,Authentication,Charlie,QA2,High,Open,Environment Issue,21,False,10
Sprint 29,Authentication,Charlie,QA2,Low,Resolved,Code Issue,22,False,3
Sprint 29,Authentication,Charlie,QA2,Medium,In Progress,Code Issue,23,False,10
Sprint 29,Authentication,Charlie,QA2,High,Resolved,Environment Issue,4,False,1
Sprint 29,Billing,Charlie,QA5,High,Closed,Environment Issue,12,False,8
Sprint 29,Billing,Charlie,QA5,Critical,In Progress,Test Coverage Miss,19,True,4
Sprint 29,Billing,Charlie,QA5,Medium,In Progress,Environment Issue,27,True,7
Sprint 29,Billing,Charlie,QA5,High,In Progress,Requirement Gap,3,False,2
Sprint 29,Billing,Charlie,QA5,High,Open,Code Issue,20,False,6
Sprint 29,Billing,Charlie,QA5,Critical,In Progress,Code Issue,20,True,5
Sprint 29,Billing,Charlie,QA5,Critical,Resolved,Environment Issue,23,False,9
Sprint 29,Payments,David,QA3,High,In Progress,Environment Issue,13,True,2
Sprint 29,Payments,David,QA3,Medium,In Progress,Requirement Gap,15,True,6
Sprint 29,Payments,David,QA3,Medium,In Progress,Test Coverage Miss,4,True,9
Sprint 29,Payments,David,QA3,High,In Progress,Test Coverage Miss,21,False,9
Sprint 29,Payments,David,QA3,Medium,Closed,Environment Issue,14,False,3
Sprint 29,Payments,David,QA3,Low,Closed,Requirement Gap,26,True,4
