Sprint,Module,Priority,Status,Root_Cause_Analysis
Sprint 29,Billing,High,Open,Requirement Gap
Sprint 29,Billing,High,Resolved,Code Issue
Sprint 29,Billing,High,Open,Test Coverage Miss
Sprint 29,Billing,Critical,Resolved,Environment Issue
Sprint 29,Payments,High,Open,Test Coverage Miss
Sprint 29,Payments,Medium,Resolved,Code Issue
Sprint 29,Payments,High,Resolved,Test Coverage Miss
Sprint 29,Notifications,Low,Closed,Test Coverage Miss
Sprint 29,Notifications,High,Open,Code Issue
Sprint 29,Notifications,Low,Resolved,Test Coverage Miss
Sprint 29,Notifications,High,Resolved,Environment Issue
Sprint 29,Notifications,Low,Resolved,Test Coverage Miss
Sprint 29,Notifications,Medium,In Progress,Code Issue
Sprint 29,Notifications,Critical,Resolved,Code Issue
Sprint 29,Notifications,High,Resolved,Code Issue
Sprint 29,Reports,Medium,Closed,Test Coverage Miss
Sprint 29,Reports,Low,Closed,Requirement Gap
Sprint 29,Reports,Low,In Progress,Environment Issue
Sprint 29,Reports,High,Open,Environment Issue
Sprint 29,Reports,Critical,Open,Requirement Gap
Sprint 29,Reports,Critical,Closed,Code Issue
Sprint 29,Reports,Low,Open,Code Issue
Sprint 29,Reports,Medium,Resolved,Test Coverage Miss
Sprint 29,Reports,Critical,In Progress,Code Issue
Sprint 29,Dashboard,Medium,Resolved,Test Coverage Miss
Sprint 29,Dashboard,Medium,Closed,Environment Issue
Sprint 29,Dashboard,Low,Open,Code Issue
Sprint 29,Dashboard,High,In Progress,Environment Issue
Sprint 29,Dashboard,High,Resolved,Test Coverage Miss
Sprint 29,Dashboard,Medium,Closed,Environment Issue
Sprint 29,Dashboard,Medium,Resolved,Test Coverage Miss
Sprint 29,Dashboard,Low,Closed,Code Issue
Sprint 29,Dashboard,High,In Progress,Requirement Gap
Sprint 30,Authentication,High,Resolved,Requirement Gap
Sprint 30,Authentication,High,Closed,Environment Issue
Sprint 30,Authentication,Medium,Closed,Requirement Gap
Sprint 30,Authentication,High,Resolved,Environment Issue
Sprint 30,Authentication,Medium,In Progress,Environment Issue
Sprint 30,Authentication,Low,Open,Code Issue
Sprint 30,Authentication,Medium,Open,Test Coverage Miss
Sprint 30,Billing,Low,Closed,Test Coverage Miss
Sprint 30,Billing,Medium,In Progress,Code Issue
Sprint 30,Billing,High,Closed,Code Issue
Sprint 30,Billing,High,Open,Test Coverage Miss
Sprint 30,Billing,Medium,Closed,Requirement Gap
Sprint 30,Billing,Low,Resolved,Requirement Gap
Sprint 30,Billing,Medium,Resolved,Code Issue
Sprint 30,Billing,High,In Progress,Test Coverage Miss
Sprint 30,Billing,Medium,Resolved,Code Issue
Sprint 30,Billing,Low,Resolved,Code Issue
Sprint 30,Payments,Low,Closed,Requirement Gap
Sprint 30,Payments,High,Open,Environment Issue
Sprint 30,Payments,Low,In Progress,Code Issue
Sprint 30,Payments,High,Closed,Test Coverage Miss
Sprint 30,Payments,High,Open,Code Issue
Sprint 30,Payments,Low,Open,Code Issue
Sprint 30,Notifications,Low,Resolved,Environment Issue
Sprint 30,Notifications,Critical,In Progress,Code Issue
Sprint 30,Notifications,Critical,In Progress,Environment Issue
Sprint 30,Notifications,Critical,Resolved,Environment Issue
Sprint 30,Notifications,Critical,Closed,Test Coverage Miss
Sprint 30,Notifications,Medium,Resolved,Test Coverage Miss
Sprint 30,Reports,High,Resolved,Code Issue
Sprint 30,Reports,Medium,Resolved,Code Issue
Sprint 30,Reports,Low,In Progress,Environment Issue
Sprint 30,Reports,Low,Open,Environment Issue
Sprint 30,Reports,Critical,Closed,Test Coverage Miss
Sprint 30,Reports,Critical,Open,Code Issue
Sprint 30,Dashboard,Low,Closed,Code Issue
Sprint 30,Dashboard,Low,In Progress,Code Issue
Sprint 30,Dashboard,Critical,Open,Test Coverage Miss
Sprint 30,Dashboard,Critical,Resolved,Code Issue
Sprint 30,Dashboard,Low,In Progress,Test Coverage Miss
Sprint 30,Dashboard,Critical,In Progress,Test Coverage Miss
Sprint 31,Authentication,High,Open,Test Coverage Miss
Sprint 31,Authentication,Low,Open,Requirement Gap
Sprint 31,Authentication,Medium,Resolved,Requirement Gap
Sprint 31,Billing,Critical,In Progress,Environment Issue
Sprint 31,Billing,Low,In Progress,Environment Issue
Sprint 31,Billing,Low,Resolved,Environment Issue
Sprint 31,Billing,Critical,Open,Environment Issue
Sprint 31,Billing,Medium,Closed,Requirement Gap
Sprint 31,Billing,Low,Resolved,Code Issue
Sprint 31,Billing,Medium,In Progress,Code Issue
Sprint 31,Billing,Medium,Resolved,Test Coverage Miss
Sprint 31,Billing,Low,Resolved,Environment Issue
Sprint 31,Payments,Medium,Open,Requirement Gap
Sprint 31,Payments,High,In Progress,Code Issue
Sprint 31,Payments,Medium,Closed,Environment Issue
Sprint 31,Payments,Low,Resolved,Environment Issue
Sprint 31,Payments,Low,Closed,Requirement Gap
Sprint 31,Payments,Low,Resolved,Environment Issue
Sprint 31,Payments,Critical,Open,Requirement Gap
Sprint 31,Payments,Critical,Closed,Test Coverage Miss
Sprint 31,Payments,Low,Open,Environment Issue
Sprint 31,Notifications,High,Resolved,Test Coverage Miss
Sprint 31,Notifications,High,Resolved,Environment Issue
Sprint 31,Notifications,Low,Closed,Environment Issue
Sprint 31,Reports,High,Closed,Code Issue
Sprint 31,Reports,Medium,In Progress,Code Issue
Sprint 31,Reports,Critical,Resolved,Environment Issue
Sprint 31,Reports,Medium,In Progress,Requirement Gap
Sprint 31,Dashboard,Medium,Closed,Requirement Gap
Sprint 31,Dashboard,High,In Progress,Code Issue
Sprint 31,Dashboard,Critical,Resolved,Requirement Gap
Sprint 31,Dashboard,High,Open,Environment Issue
Sprint 31,Dashboard,Critical,In Progress,Requirement Gap
Sprint 31,Dashboard,Critical,Resolved,Test Coverage Miss
Sprint 32,Authentication,High,Resolved,Test Coverage Miss
Sprint 32,Authentication,Low,Closed,Requirement Gap
Sprint 32,Authentication,Critical,Open,Environment Issue
Sprint 32,Authentication,Low,Open,Environment Issue
Sprint 32,Authentication,Medium,Closed,Environment Issue
Sprint 32,Authentication,Low,Open,Environment Issue
Sprint 32,Authentication,Medium,Closed,Environment Issue
Sprint 32,Authentication,Critical,In Progress,Test Coverage Miss
Sprint 32,Authentication,High,Open,Environment Issue
Sprint 32,Billing,Critical,Closed,Test Coverage Miss
Sprint 32,Billing,High,Open,Test Coverage Miss
Sprint 32,Billing,High,Open,Code Issue
Sprint 32,Billing,High,Closed,Code Issue
Sprint 32,Billing,Low,In Progress,Code Issue
Sprint 32,Billing,High,Closed,Code Issue
Sprint 32,Billing,Critical,In Progress,Requirement Gap
Sprint 32,Payments,Medium,Closed,Environment Issue
Sprint 32,Payments,Critical,Closed,Code Issue
Sprint 32,Payments,Critical,Resolved,Test Coverage Miss
Sprint 32,Payments,Low,Open,Environment Issue
Sprint 32,Payments,Critical,Closed,Code Issue
Sprint 32,Notifications,High,Closed,Code Issue
Sprint 32,Notifications,Medium,Resolved,Code Issue
Sprint 32,Notifications,Low,In Progress,Test Coverage Miss
Sprint 32,Notifications,Medium,In Progress,Code Issue
Sprint 32,Reports,Critical,Closed,Code Issue
Sprint 32,Reports,Medium,In Progress,Requirement Gap
Sprint 32,Reports,High,Open,Environment Issue
Sprint 32,Dashboard,Critical,Closed,Environment Issue
Sprint 32,Dashboard,High,Resolved,Requirement Gap
Sprint 32,Dashboard,Critical,Closed,Test Coverage Miss
Sprint 32,Dashboard,Critical,Open,Requirement Gap
Sprint 32,Dashboard,Critical,Resolved,Environment Issue
Sprint 32,Dashboard,High,Closed,Code Issue
Sprint 32,Dashboard,Critical,Closed,Requirement Gap
Sprint 32,Dashboard,Critical,Resolved,Code Issue
Sprint 32,Dashboard,Low,Resolved,Test Coverage Miss
Sprint 33,Authentication,High,Resolved,Environment Issue
Sprint 33,Authentication,Critical,Closed,Environment Issue
Sprint 33,Authentication,Low,Closed,Environment Issue
Sprint 33,Authentication,High,In Progress,Test Coverage Miss
Sprint 33,Authentication,Low,Closed,Test Coverage Miss
Sprint 33,Authentication,Critical,Open,Requirement Gap
Sprint 33,Authentication,Medium,Resolved,Environment Issue
Sprint 33,Authentication,High,Resolved,Code Issue
Sprint 33,Authentication,High,Closed,Requirement Gap
Sprint 33,Billing,Medium,Closed,Requirement Gap
Sprint 33,Billing,Medium,Resolved,Code Issue
Sprint 33,Billing,Low,Open,Requirement Gap
Sprint 33,Billing,Critical,Resolved,Environment Issue
Sprint 33,Billing,Medium,Open,Requirement Gap
Sprint 33,Billing,Low,Closed,Environment Issue
Sprint 33,Billing,Critical,In Progress,Test Coverage Miss
Sprint 33,Billing,Medium,Closed,Requirement Gap
Sprint 33,Billing,Medium,Closed,Requirement Gap
Sprint 33,Payments,Critical,In Progress,Requirement Gap
Sprint 33,Payments,Medium,In Progress,Requirement Gap
Sprint 33,Payments,Low,In Progress,Requirement Gap
Sprint 33,Payments,Low,Resolved,Code Issue
Sprint 33,Payments,High,Resolved,Environment Issue
Sprint 33,Payments,High,In Progress,Environment Issue
Sprint 33,Payments,Medium,In Progress,Code Issue
Sprint 33,Payments,Low,Open,Environment Issue
Sprint 33,Payments,Medium,Resolved,Environment Issue
Sprint 33,Notifications,Medium,In Progress,Code Issue
Sprint 33,Notifications,Low,Resolved,Code Issue
Sprint 33,Notifications,Medium,In Progress,Code Issue
Sprint 33,Notifications,Critical,In Progress,Code Issue
Sprint 33,Notifications,Medium,Closed,Environment Issue
Sprint 33,Notifications,Medium,Closed,Test Coverage Miss
Sprint 33,Notifications,Low,Open,Test Coverage Miss
Sprint 33,Notifications,Medium,Resolved,Requirement Gap
Sprint 33,Reports,Low,Open,Code Issue
Sprint 33,Reports,Critical,Resolved,Test Coverage Miss
Sprint 33,Reports,Critical,In Progress,Code Issue
Sprint 33,Reports,Critical,In Progress,Code Issue
Sprint 33,Reports,High,In Progress,Requirement Gap
Sprint 33,Reports,Medium,Resolved,Test Coverage Miss
Sprint 33,Reports,Low,Resolved,Environment Issue
Sprint 33,Dashboard,High,In Progress,Code Issue
Sprint 33,Dashboard,High,In Progress,Requirement Gap
Sprint 33,Dashboard,Medium,Resolved,Code Issue
Sprint 33,Dashboard,Medium,Resolved,Environment Issue
Sprint 33,Dashboard,High,Closed,Test Coverage Miss
Sprint 33,Dashboard,High,Resolved,Test Coverage Miss
Sprint 34,Authentication,Low,Closed,Test Coverage Miss
Sprint 34,Authentication,Low,In Progress,Code Issue
Sprint 34,Authentication,High,Open,Test Coverage Miss
Sprint 34,Authentication,Critical,In Progress,Test Coverage Miss
Sprint 34,Authentication,Low,In Progress,Code Issue
Sprint 34,Billing,Low,Closed,Test Coverage Miss
Sprint 34,Billing,Low,In Progress,Test Coverage Miss
Sprint 34,Billing,Critical,Open,Code Issue
Sprint 34,Payments,Medium,In Progress,Test Coverage Miss
Sprint 34,Payments,Critical,In Progress,Environment Issue
Sprint 34,Payments,Critical,In Progress,Code Issue
Sprint 34,Payments,Critical,Open,Environment Issue
Sprint 34,Payments,Low,Closed,Code Issue
Sprint 34,Payments,Low,In Progress,Code Issue
Sprint 34,Notifications,Critical,Closed,Requirement Gap
Sprint 34,Notifications,Critical,In Progress,Test Coverage Miss
Sprint 34,Notifications,Low,Open,Requirement Gap
Sprint 34,Notifications,Low,Open,Environment Issue
Sprint 34,Notifications,Low,Open,Test Coverage Miss
Sprint 34,Notifications,Critical,In Progress,Requirement Gap
Sprint 34,Notifications,High,In Progress,Environment Issue
Sprint 34,Notifications,High,Closed,Requirement Gap
Sprint 34,Notifications,Critical,Closed,Code Issue
Sprint 34,Notifications,Medium,In Progress,Environment Issue
Sprint 34,Reports,Critical,Open,Code Issue
Sprint 34,Reports,Critical,In Progress,Test Coverage Miss
Sprint 34,Reports,Critical,Closed,Code Issue
Sprint 34,Reports,Critical,Resolved,Code Issue
Sprint 34,Reports,High,Closed,Requirement Gap
Sprint 34,Reports,Low,Open,Environment Issue
Sprint 34,Reports,High,Open,Environment Issue
Sprint 34,Reports,Medium,Open,Requirement Gap
Sprint 34,Reports,Medium,In Progress,Code Issue
Sprint 34,Reports,Critical,Closed,Test Coverage Miss
Sprint 34,Dashboard,High,In Progress,Requirement Gap
Sprint 34,Dashboard,Low,Resolved,Requirement Gap
Sprint 34,Dashboard,Low,In Progress,Code Issue
Sprint 34,Dashboard,Medium,Resolved,Requirement Gap
Sprint 34,Dashboard,Low,Open,Requirement Gap
Sprint 34,Dashboard,Low,Open,Requirement Gap
Sprint 34,Dashboard,Medium,In Progress,Environment Issue
Sprint 34,Dashboard,Critical,In Progress,Requirement Gap
Sprint 34,Dashboard,Critical,Open,Test Coverage Miss
Sprint 35,Authentication,Medium,Closed,Environment Issue
Sprint 35,Authentication,Medium,Closed,Environment Issue
Sprint 35,Authentication,Medium,Resolved,Requirement Gap
Sprint 35,Authentication,High,Open,Code Issue
Sprint 35,Authentication,Medium,Closed,Test Coverage Miss
Sprint 35,Authentication,High,In Progress,Code Issue
Sprint 35,Authentication,Low,Closed,Requirement Gap
Sprint 35,Billing,Medium,In Progress,Code Issue
Sprint 35,Billing,Low,Open,Code Issue
Sprint 35,Billing,Medium,Open,Code Issue
Sprint 35,Billing,Critical,In Progress,Environment Issue
Sprint 35,Billing,Critical,Open,Environment Issue
Sprint 35,Billing,Low,Resolved,Test Coverage Miss
Sprint 35,Billing,Low,Resolved,Code Issue
Sprint 35,Billing,Medium,Open,Environment Issue
Sprint 35,Billing,High,Open,Requirement Gap
Sprint 35,Billing,Low,Closed,Code Issue
Sprint 35,Payments,High,Resolved,Code Issue
Sprint 35,Payments,Medium,Closed,Code Issue
Sprint 35,Payments,High,Closed,Requirement Gap
Sprint 35,Payments,Critical,Resolved,Code Issue
Sprint 35,Payments,Critical,Closed,Environment Issue
Sprint 35,Payments,Medium,In Progress,Environment Issue
Sprint 35,Payments,Critical,Open,Environment Issue
Sprint 35,Payments,High,Closed,Test Coverage Miss
Sprint 35,Payments,High,In Progress,Requirement Gap
Sprint 35,Payments,Critical,Open,Test Coverage Miss
Sprint 35,Notifications,Low,In Progress,Requirement Gap
Sprint 35,Notifications,Low,Closed,Requirement Gap
Sprint 35,Notifications,High,Open,Requirement Gap
Sprint 35,Notifications,Low,Resolved,Code Issue
Sprint 35,Notifications,Medium,In Progress,Code Issue
Sprint 35,Notifications,High,Resolved,Code Issue
Sprint 35,Notifications,High,Open,Test Coverage Miss
Sprint 35,Notifications,High,Resolved,Test Coverage Miss
Sprint 35,Notifications,Low,Open,Environment Issue
Sprint 35,Notifications,Medium,Closed,Requirement Gap
Sprint 35,Reports,Medium,Closed,Environment Issue
Sprint 35,Reports,Low,Open,Code Issue
Sprint 35,Dashboard,Medium,Closed,Code Issue
Sprint 35,Dashboard,Critical,Resolved,Test Coverage Miss
Sprint 35,Dashboard,Critical,Resolved,Requirement Gap
Sprint 35,Dashboard,Low,Open,Requirement Gap
Sprint 36,Authentication,Low,Open,Test Coverage Miss
Sprint 36,Authentication,Low,In Progress,Requirement Gap
Sprint 36,Billing,Medium,Resolved,Environment Issue
Sprint 36,Billing,Critical,In Progress,Environment Issue
Sprint 36,Billing,High,Resolved,Code Issue
Sprint 36,Billing,Medium,Resolved,Test Coverage Miss
Sprint 36,Billing,High,In Progress,Requirement Gap
Sprint 36,Billing,High,Resolved,Code Issue
Sprint 36,Billing,High,Closed,Code Issue
Sprint 36,Billing,Low,Resolved,Requirement Gap
Sprint 36,Payments,Critical,Open,Requirement Gap
Sprint 36,Payments,High,Resolved,Requirement Gap
Sprint 36,Payments,High,Resolved,Code Issue
Sprint 36,Payments,High,In Progress,Test Coverage Miss
Sprint 36,Payments,Medium,Closed,Test Coverage Miss
Sprint 36,Payments,Medium,Open,Test Coverage Miss
Sprint 36,Payments,Low,In Progress,Code Issue
Sprint 36,Payments,Critical,Closed,Requirement Gap
Sprint 36,Notifications,Medium,Open,Code Issue
Sprint 36,Notifications,Low,In Progress,Test Coverage Miss
Sprint 36,Notifications,High,In Progress,Requirement Gap
Sprint 36,Reports,Critical,Open,Test Coverage Miss
Sprint 36,Reports,High,In Progress,Requirement Gap
Sprint 36,Reports,High,Closed,Code Issue
Sprint 36,Reports,High,Resolved,Environment Issue
Sprint 36,Reports,High,Resolved,Test Coverage Miss
Sprint 36,Reports,Medium,Closed,Code Issue
Sprint 36,Reports,Critical,Resolved,Requirement Gap
Sprint 36,Reports,Medium,Resolved,Test Coverage Miss
Sprint 36,Reports,Critical,In Progress,Requirement Gap
Sprint 36,Reports,Medium,In Progress,Test Coverage Miss
Sprint 36,Dashboard,High,Open,Code Issue
Sprint 36,Dashboard,Low,Open,Test Coverage Miss
Sprint 36,Dashboard,Critical,Resolved,Requirement Gap
Sprint 36,Dashboard,Medium,Resolved,Requirement Gap
Sprint 36,Dashboard,Low,Closed,Code Issue
Sprint 36,Dashboard,Medium,Resolved,Environment Issue
Sprint 37,Authentication,Low,In Progress,Requirement Gap
Sprint 37,Authentication,Low,Open,Environment Issue
Sprint 37,Authentication,Low,Open,Environment Issue
Sprint 37,Authentication,Critical,Closed,Test Coverage Miss
Sprint 37,Authentication,Low,Resolved,Test Coverage Miss
Sprint 37,Authentication,High,Resolved,Environment Issue
Sprint 37,Authentication,Low,Open,Requirement Gap
Sprint 37,Authentication,Low,Open,Environment Issue
Sprint 37,Billing,Low,Open,Test Coverage Miss
Sprint 37,Billing,High,Resolved,Test Coverage Miss
Sprint 37,Billing,Low,In Progress,Code Issue
Sprint 37,Billing,Critical,In Progress,Environment Issue
Sprint 37,Billing,Critical,Resolved,Code Issue
Sprint 37,Payments,Medium,Resolved,Test Coverage Miss
Sprint 37,Payments,High,In Progress,Code Issue
Sprint 37,Payments,Low,Open,Test Coverage Miss
Sprint 37,Payments,Medium,In Progress,Test Coverage Miss
Sprint 37,Notifications,Medium,Open,Code Issue
Sprint 37,Notifications,Medium,Resolved,Requirement Gap
Sprint 37,Notifications,High,Closed,Code Issue
Sprint 37,Notifications,Critical,Resolved,Test Coverage Miss
Sprint 37,Notifications,Critical,Closed,Requirement Gap
Sprint 37,Notifications,Low,Closed,Environment Issue
Sprint 37,Notifications,Medium,Resolved,Code Issue
Sprint 37,Notifications,High,Resolved,Environment Issue
Sprint 37,Notifications,Critical,Open,Test Coverage Miss
Sprint 37,Reports,Critical,Closed,Test Coverage Miss
Sprint 37,Reports,Critical,Closed,Requirement Gap
Sprint 37,Reports,Critical,Resolved,Environment Issue
Sprint 37,Reports,Critical,Resolved,Requirement Gap
Sprint 37,Reports,Low,In Progress,Environment Issue
Sprint 37,Reports,High,Resolved,Requirement Gap
Sprint 37,Reports,Critical,Closed,Requirement Gap
Sprint 37,Reports,High,Open,Requirement Gap
Sprint 37,Reports,Medium,In Progress,Test Coverage Miss
Sprint 37,Reports,High,Resolved,Test Coverage Miss
Sprint 37,Dashboard,Critical,Open,Requirement Gap
Sprint 37,Dashboard,Low,Open,Requirement Gap
Sprint 37,Dashboard,Medium,Resolved,Environment Issue
Sprint 37,Dashboard,Low,Closed,Environment Issue
Sprint 37,Dashboard,Critical,Open,Test Coverage Miss
Sprint 38,Authentication,High,In Progress,Code Issue
Sprint 38,Authentication,Critical,In Progress,Requirement Gap
Sprint 38,Authentication,Low,In Progress,Requirement Gap
Sprint 38,Authentication,Medium,Open,Requirement Gap
Sprint 38,Authentication,Critical,Resolved,Code Issue
Sprint 38,Authentication,Critical,In Progress,Code Issue
Sprint 38,Authentication,High,Open,Requirement Gap
Sprint 38,Authentication,Low,Resolved,Test Coverage Miss
Sprint 38,Authentication,Low,In Progress,Environment Issue
Sprint 38,Authentication,Medium,Closed,Requirement Gap
Sprint 38,Billing,Medium,In Progress,Test Coverage Miss
Sprint 38,Billing,High,Closed,Code Issue
Sprint 38,Billing,High,Resolved,Environment Issue
Sprint 38,Billing,Medium,In Progress,Requirement Gap
Sprint 38,Billing,Critical,In Progress,Requirement Gap
Sprint 38,Billing,Medium,Resolved,Environment Issue
Sprint 38,Billing,Medium,Closed,Code Issue
Sprint 38,Billing,Medium,Closed,Requirement Gap
Sprint 38,Billing,Low,In Progress,Test Coverage Miss
Sprint 38,Payments,High,Closed,Test Coverage Miss
Sprint 38,Payments,High,Open,Requirement Gap
Sprint 38,Payments,High,In Progress,Code Issue
Sprint 38,Payments,Medium,Closed,Test Coverage Miss
Sprint 38,Notifications,High,Resolved,Requirement Gap
Sprint 38,Notifications,Low,Open,Code Issue
Sprint 38,Reports,High,Closed,Test Coverage Miss
Sprint 38,Reports,Critical,Closed,Code Issue
Sprint 38,Reports,High,Open,Environment Issue
Sprint 38,Reports,High,Open,Test Coverage Miss
Sprint 38,Reports,High,Resolved,Code Issue
Sprint 38,Reports,Medium,Resolved,Environment Issue
Sprint 38,Reports,Medium,Resolved,Requirement Gap
Sprint 38,Reports,Critical,Open,Code Issue
Sprint 38,Reports,Critical,Resolved,Environment Issue
Sprint 38,Reports,Critical,In Progress,Test Coverage Miss
Sprint 38,Dashboard,Medium,In Progress,Code Issue
Sprint 38,Dashboard,Medium,In Progress,Environment Issue
Sprint 38,Dashboard,Critical,In Progress,Code Issue
Sprint 38,Dashboard,High,Open,Requirement Gap
Sprint 38,Dashboard,Low,Resolved,Code Issue
Sprint 38,Dashboard,High,Closed,Test Coverage Miss
Sprint 38,Dashboard,Critical,Resolved,Code Issue
Sprint 38,Dashboard,Medium,Open,Environment Issue
Sprint 38,Dashboard,Medium,Resolved,Test Coverage Miss
Sprint 38,Dashboard,Low,In Progress,Requirement Gap
Sprint 39,Authentication,Low,In Progress,Environment Issue
Sprint 39,Authentication,Critical,Open,Requirement Gap
Sprint 39,Authentication,Critical,Closed,Test Coverage Miss
Sprint 39,Authentication,Low,Closed,Code Issue
Sprint 39,Billing,High,Open,Environment Issue
Sprint 39,Billing,Medium,Resolved,Code Issue
Sprint 39,Billing,High,Resolved,Test Coverage Miss
Sprint 39,Billing,High,Resolved,Code Issue
Sprint 39,Billing,Critical,Open,Code Issue
Sprint 39,Billing,Low,In Progress,Code Issue
Sprint 39,Billing,Critical,Resolved,Code Issue
Sprint 39,Billing,Medium,Open,Test Coverage Miss
Sprint 39,Billing,High,In Progress,Requirement Gap
Sprint 39,Billing,Medium,Closed,Environment Issue
Sprint 39,Payments,Low,Resolved,Test Coverage Miss
Sprint 39,Payments,Low,Resolved,Code Issue
Sprint 39,Payments,Low,In Progress,Requirement Gap
Sprint 39,Payments,High,Resolved,Requirement Gap
Sprint 39,Notifications,High,Open,Code Issue
Sprint 39,Notifications,Low,Open,Test Coverage Miss
Sprint 39,Notifications,High,Resolved,Environment Issue
Sprint 39,Notifications,High,Open,Environment Issue
Sprint 39,Notifications,High,In Progress,Code Issue
Sprint 39,Notifications,Critical,Resolved,Test Coverage Miss
Sprint 39,Notifications,High,Open,Requirement Gap
Sprint 39,Reports,High,Open,Code Issue
Sprint 39,Reports,Critical,In Progress,Environment Issue
Sprint 39,Reports,High,Closed,Environment Issue
Sprint 39,Reports,High,Open,Test Coverage Miss
Sprint 39,Reports,Low,Closed,Environment Issue
Sprint 39,Reports,Low,Closed,Code Issue
Sprint 39,Reports,Medium,In Progress,Requirement Gap
Sprint 39,Reports,High,In Progress,Requirement Gap
Sprint 39,Dashboard,Critical,Closed,Environment Issue
Sprint 39,Dashboard,High,Resolved,Code Issue
Sprint 39,Dashboard,Low,In Progress,Test Coverage Miss
Sprint 40,Authentication,Medium,Open,Requirement Gap
Sprint 40,Authentication,Medium,In Progress,Test Coverage Miss
Sprint 40,Authentication,High,Resolved,Test Coverage Miss
Sprint 40,Authentication,Critical,Resolved,Code Issue
Sprint 40,Authentication,Medium,Resolved,Test Coverage Miss
Sprint 40,Authentication,Low,Closed,Environment Issue
Sprint 40,Billing,High,Closed,Environment Issue
Sprint 40,Billing,Low,Open,Environment Issue
Sprint 40,Billing,Critical,In Progress,Requirement Gap
Sprint 40,Billing,High,In Progress,Code Issue
Sprint 40,Billing,Medium,Open,Requirement Gap
Sprint 40,Billing,Medium,Resolved,Code Issue
Sprint 40,Billing,Low,In Progress,Test Coverage Miss
Sprint 40,Billing,Medium,In Progress,Test Coverage Miss
Sprint 40,Billing,High,Resolved,Code Issue
Sprint 40,Payments,Low,Closed,Test Coverage Miss
Sprint 40,Payments,Critical,In Progress,Test Coverage Miss
Sprint 40,Payments,High,Open,Code Issue
Sprint 40,Payments,High,Resolved,Code Issue
Sprint 40,Payments,Medium,Resolved,Environment Issue
Sprint 40,Payments,Critical,Closed,Test Coverage Miss
Sprint 40,Payments,Medium,Closed,Environment Issue
Sprint 40,Payments,High,Closed,Environment Issue
Sprint 40,Payments,Medium,Closed,Requirement Gap
Sprint 40,Payments,Medium,Resolved,Requirement Gap
Sprint 40,Notifications,Critical,In Progress,Test Coverage Miss
Sprint 40,Notifications,Low,Open,Requirement Gap
Sprint 40,Notifications,Critical,Open,Requirement Gap
Sprint 40,Notifications,Low,In Progress,Environment Issue
Sprint 40,Notifications,Critical,In Progress,Code Issue
Sprint 40,Notifications,Medium,Open,Requirement Gap
Sprint 40,Notifications,High,In Progress,Test Coverage Miss
Sprint 40,Notifications,High,In Progress,Environment Issue
Sprint 40,Notifications,Critical,Open,Test Coverage Miss
Sprint 40,Notifications,Medium,In Progress,Requirement Gap
Sprint 40,Reports,Medium,Closed,Environment Issue
Sprint 40,Reports,High,Closed,Test Coverage Miss
Sprint 40,Reports,Critical,Closed,Environment Issue
Sprint 40,Reports,Low,Resolved,Code Issue
Sprint 40,Reports,Medium,Open,Environment Issue
Sprint 40,Reports,Medium,Closed,Environment Issue
Sprint 40,Reports,Medium,Resolved,Code Issue
Sprint 40,Reports,Medium,Resolved,Test Coverage Miss
Sprint 40,Dashboard,Medium,In Progress,Environment Issue
Sprint 40,Dashboard,Medium,Open,Requirement Gap
Sprint 40,Dashboard,Medium,In Progress,Code Issue
Sprint 40,Dashboard,Critical,Resolved,Requirement Gap
Sprint 40,Dashboard,High,Resolved,Code Issue
Sprint 41,Authentication,Medium,Open,Requirement Gap
Sprint 41,Authentication,High,Resolved,Test Coverage Miss
Sprint 41,Authentication,Critical,Open,Test Coverage Miss
Sprint 41,Authentication,Medium,In Progress,Requirement Gap
Sprint 41,Authentication,Critical,Resolved,Code Issue
Sprint 41,Authentication,Low,Resolved,Test Coverage Miss
Sprint 41,Authentication,High,Resolved,Test Coverage Miss
Sprint 41,Authentication,Low,Closed,Environment Issue
Sprint 41,Billing,Low,In Progress,Environment Issue
Sprint 41,Billing,Critical,Resolved,Code Issue
Sprint 41,Billing,Critical,Open,Code Issue
Sprint 41,Billing,Low,Closed,Test Coverage Miss
Sprint 41,Billing,Low,Resolved,Requirement Gap
Sprint 41,Billing,High,Closed,Test Coverage Miss
Sprint 41,Payments,High,Open,Environment Issue
Sprint 41,Payments,High,Resolved,Environment Issue
Sprint 41,Payments,High,Closed,Code Issue
Sprint 41,Notifications,High,Open,Environment Issue
Sprint 41,Notifications,Critical,In Progress,Environment Issue
Sprint 41,Notifications,Critical,Closed,Environment Issue
Sprint 41,Notifications,Low,Resolved,Requirement Gap
Sprint 41,Notifications,Critical,Open,Code Issue
Sprint 41,Notifications,Critical,Closed,Test Coverage Miss
Sprint 41,Notifications,Critical,Closed,Requirement Gap
Sprint 41,Reports,High,Open,Code Issue
Sprint 41,Reports,High,Resolved,Requirement Gap
Sprint 41,Reports,Medium,Open,Code Issue
Sprint 41,Reports,High,In Progress,Environment Issue
Sprint 41,Dashboard,Critical,In Progress,Code Issue
Sprint 41,Dashboard,High,Resolved,Requirement Gap
Sprint 41,Dashboard,Low,Resolved,Code Issue
Sprint 41,Dashboard,Critical,Closed,Requirement Gap
Sprint 41,Dashboard,Medium,Closed,Environment Issue
Sprint 41,Dashboard,Low,In Progress,Environment Issue
